BIAF01,BIAF02,BIAF03,BIAF04,BIAF05,BIAF06,BIAF07,BIAF08,BIAF09,BIAF10_01,BIAF10_02,BIAF10_03,BIAF10_04,NIVEL_ACTIVIDAD_FISICA
8,,8,,8,,600,1.0,,,,,,3.0
8,,8,,7,840.0,330,,1.0,2.0,2.0,2.0,1.0,2.0
7,210.0,8,,8,,240,,1.0,2.0,2.0,2.0,1.0,1.0
8,,8,,6,360.0,240,,2.0,1.0,2.0,1.0,1.0,2.0
8,,8,,8,,480,5.0,,,,,,3.0
8,,8,,8,,120,1.0,,,,,,3.0
3,180.0,2,120.0,3,180.0,180,,1.0,2.0,2.0,1.0,1.0,2.0
7,420.0,5,2400.0,2,120.0,180,,2.0,2.0,1.0,1.0,1.0,1.0
8,,8,,5,150.0,120,,1.0,2.0,2.0,1.0,1.0,2.0
8,,8,,3,180.0,240,,1.0,2.0,2.0,2.0,1.0,3.0
1,60.0,8,,7,540.0,30,,6.0,1.0,2.0,1.0,1.0,2.0
8,,8,,8,,600,9.0,,,,,,3.0
3,120.0,8,,7,180.0,180,,9.0,2.0,2.0,2.0,1.0,2.0
2,120.0,8,,1,60.0,180,,2.0,2.0,2.0,2.0,1.0,3.0
8,,3,300.0,4,55.0,240,,6.0,2.0,1.0,1.0,2.0,2.0
8,,8,,1,60.0,9999,,2.0,1.0,2.0,2.0,2.0,3.0
8,,3,180.0,5,100.0,480,,9.0,1.0,2.0,1.0,2.0,2.0
8,,1,60.0,8,,180,,2.0,1.0,1.0,2.0,1.0,3.0
1,240.0,8,,4,180.0,180,,2.0,2.0,2.0,1.0,1.0,2.0
8,,8,,8,,360,5.0,,,,,,3.0
4,480.0,2,90.0,7,210.0,300,,2.0,2.0,2.0,1.0,1.0,1.0
8,,8,,7,840.0,180,,1.0,1.0,1.0,1.0,2.0,2.0
8,,8,,6,360.0,9999,,11.0,2.0,1.0,1.0,2.0,2.0
3,180.0,8,,2,30.0,300,,2.0,2.0,1.0,1.0,1.0,2.0
8,,8,,8,,480,5.0,,,,,,3.0
8,,8,,8,,360,9.0,,,,,,3.0
8,,8,,8,,540,7.0,,,,,,3.0
8,,8,,5,50.0,120,,2.0,2.0,2.0,1.0,2.0,3.0
8,,8,,7,120.0,180,,9.0,1.0,1.0,1.0,2.0,3.0
8,,8,,7,70.0,240,,1.0,2.0,1.0,2.0,2.0,3.0
8,,8,,2,120.0,120,,9.0,1.0,2.0,2.0,1.0,3.0
8,,8,,7,600.0,360,,9.0,1.0,2.0,1.0,2.0,2.0
8,,8,,7,420.0,300,,9.0,2.0,2.0,1.0,2.0,2.0
8,,8,,8,,180,5.0,,,,,,3.0
8,,2,120.0,3,180.0,480,,1.0,2.0,2.0,2.0,1.0,2.0
8,,8,,8,,480,1.0,,,,,,3.0
8,,8,,8,,360,2.0,,,,,,3.0
8,,8,,5,250.0,360,,2.0,2.0,2.0,1.0,2.0,2.0
2,120.0,1,60.0,2,20.0,120,,2.0,1.0,2.0,1.0,1.0,2.0
8,,8,,1,60.0,360,,2.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,120,9.0,,,,,,3.0
8,,8,,5,60.0,600,,2.0,1.0,2.0,1.0,2.0,3.0
8,,8,,5,300.0,120,,1.0,1.0,2.0,1.0,1.0,2.0
8,,8,,3,180.0,240,,11.0,2.0,1.0,1.0,2.0,3.0
8,,8,,5,300.0,180,,2.0,2.0,2.0,1.0,2.0,2.0
8,,8,,7,180.0,300,,6.0,1.0,2.0,1.0,1.0,3.0
8,,2,180.0,8,,240,,1.0,1.0,2.0,2.0,1.0,3.0
8,,8,,8,,240,5.0,,,,,,3.0
8,,7,420.0,7,840.0,600,,2.0,1.0,2.0,1.0,2.0,1.0
8,,8,,3,210.0,120,,3.0,1.0,2.0,1.0,1.0,3.0
8,,8,,8,,240,9.0,,,,,,3.0
8,,8,,2,120.0,300,,1.0,2.0,2.0,2.0,1.0,3.0
8,,7,135.0,8,,210,,6.0,1.0,2.0,2.0,1.0,3.0
8,,4,720.0,8,,120,,2.0,2.0,1.0,2.0,2.0,3.0
1,120.0,6,3240.0,7,3780.0,240,,2.0,2.0,1.0,1.0,1.0,1.0
8,,8,,7,210.0,60,,9.0,2.0,1.0,1.0,2.0,2.0
8,,4,240.0,3,180.0,120,,1.0,1.0,2.0,1.0,1.0,2.0
8,,3,180.0,7,420.0,120,,2.0,1.0,1.0,1.0,1.0,2.0
3,180.0,8,,8,,480,,1.0,2.0,2.0,2.0,1.0,2.0
7,510.0,8,,2,90.0,9999,,2.0,2.0,2.0,2.0,1.0,1.0
8,,8,,7,420.0,60,,11.0,2.0,2.0,1.0,1.0,2.0
8,,8,,7,280.0,60,,2.0,1.0,1.0,1.0,1.0,2.0
8,,8,,7,420.0,600,,3.0,2.0,2.0,1.0,2.0,2.0
8,,6,2880.0,5,300.0,120,,2.0,2.0,1.0,1.0,2.0,1.0
8,,8,,7,420.0,180,,6.0,2.0,2.0,1.0,1.0,2.0
8,,3,240.0,1,40.0,240,,2.0,2.0,2.0,2.0,1.0,3.0
2,120.0,8,,7,70.0,300,,3.0,1.0,2.0,1.0,2.0,2.0
8,,7,420.0,8,,240,,3.0,2.0,2.0,2.0,1.0,2.0
8,,8,,3,240.0,300,,2.0,1.0,2.0,1.0,2.0,3.0
8,,8,,7,1260.0,420,,2.0,2.0,1.0,1.0,2.0,1.0
8,,7,840.0,7,600.0,180,,9.0,1.0,1.0,1.0,2.0,1.0
3,720.0,3,720.0,7,5040.0,60,,2.0,1.0,1.0,1.0,1.0,1.0
8,,8,,2,60.0,150,,2.0,1.0,1.0,2.0,2.0,3.0
8,,8,,8,,120,1.0,,,,,,3.0
8,,8,,8,,120,1.0,,,,,,3.0
8,,8,,2,20.0,600,,6.0,1.0,2.0,1.0,2.0,3.0
8,,8,,3,180.0,210,,9.0,2.0,2.0,2.0,1.0,3.0
7,420.0,8,,8,,120,,6.0,1.0,2.0,2.0,1.0,1.0
3,360.0,2,120.0,7,210.0,120,,2.0,2.0,2.0,1.0,1.0,1.0
8,,8,,3,45.0,360,,2.0,1.0,1.0,1.0,2.0,3.0
8,,2,150.0,8,,120,,1.0,2.0,2.0,2.0,1.0,3.0
8,,8,,5,75.0,9999,,10.0,1.0,2.0,2.0,2.0,3.0
8,,2,75.0,5,90.0,240,,10.0,2.0,2.0,2.0,1.0,3.0
7,420.0,8,,8,,240,,1.0,2.0,2.0,2.0,1.0,1.0
3,180.0,8,,8,,480,,2.0,1.0,1.0,1.0,1.0,2.0
8,,8,,7,420.0,240,,9.0,1.0,1.0,1.0,2.0,2.0
3,270.0,3,360.0,3,30.0,180,,2.0,1.0,2.0,1.0,1.0,1.0
8,,7,1680.0,7,300.0,60,,1.0,1.0,1.0,1.0,1.0,1.0
8,,6,1980.0,8,,180,,11.0,2.0,1.0,2.0,2.0,2.0
8,,8,,3,180.0,300,,9.0,2.0,2.0,1.0,1.0,3.0
8,,8,,5,300.0,60,,2.0,2.0,1.0,1.0,1.0,2.0
8,,8,,2,60.0,240,,2.0,2.0,2.0,1.0,2.0,3.0
8,,8,,1,30.0,120,,2.0,2.0,2.0,1.0,2.0,3.0
8,,8,,7,840.0,120,,2.0,1.0,2.0,2.0,2.0,2.0
3,270.0,8,,4,480.0,180,,1.0,2.0,2.0,2.0,1.0,1.0
8,,8,,8,,300,1.0,,,,,,3.0
8,,8,,7,210.0,120,,1.0,2.0,2.0,1.0,2.0,2.0
7,840.0,8,,4,840.0,180,,9.0,1.0,2.0,1.0,2.0,1.0
8,,8,,7,420.0,540,,10.0,1.0,2.0,1.0,1.0,2.0
8,,8,,8,,245,1.0,,,,,,3.0
8,,8,,5,150.0,120,,2.0,2.0,2.0,1.0,2.0,2.0
8,,2,120.0,8,,540,,3.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,360,8.0,,,,,,3.0
8,,8,,5,300.0,240,,2.0,2.0,2.0,2.0,1.0,2.0
8,,8,,8,,360,5.0,,,,,,3.0
8,,8,,8,,360,1.0,,,,,,3.0
8,,8,,3,60.0,300,,6.0,1.0,2.0,1.0,1.0,3.0
8,,4,1200.0,3,180.0,180,,11.0,2.0,1.0,1.0,2.0,1.0
8,,8,,8,,180,2.0,,,,,,3.0
3,360.0,8,,7,840.0,360,,2.0,1.0,1.0,1.0,1.0,1.0
8,,8,,7,420.0,300,,4.0,1.0,2.0,1.0,2.0,2.0
8,,8,,7,300.0,240,,2.0,2.0,1.0,1.0,2.0,2.0
8,,8,,7,1200.0,120,,2.0,1.0,2.0,1.0,2.0,1.0
8,,8,,8,,300,1.0,,,,,,3.0
8,,8,,5,300.0,180,,6.0,2.0,2.0,2.0,1.0,2.0
1,120.0,8,,5,60.0,120,,2.0,2.0,1.0,1.0,1.0,2.0
8,,8,,8,,360,1.0,,,,,,3.0
3,360.0,5,1200.0,3,180.0,120,,2.0,1.0,1.0,1.0,1.0,1.0
